# f, coupled power
2300000000.0	5138.0	0.0
2303000000.0	5415.0	-175.523605984
2306000000.0	5609.0	-186.490771323
2309000000.0	5912.0	-15.4365649893
2312000000.0	6117.0	-191.19098504
2315000000.0	6360.0	-16.7794831941
2318000000.0	6558.0	160.534680396
2321000000.0	6886.0	157.177384884
2324000000.0	7189.0	-36.2517971634
2327000000.0	7410.0	-37.1470759666
2330000000.0	7794.0	136.36215271
2333000000.0	8121.0	-48.785700408
2336000000.0	8539.0	128.752282883
2339000000.0	8909.0	-60.6481445502
2342000000.0	9259.0	-66.6912764717
2345000000.0	9723.0	-69.3771128813
2348000000.0	10293.0	107.489411308
2351000000.0	10711.0	-84.1492131339
2354000000.0	11132.0	-87.7303283466
2357000000.0	11555.0	-93.5496405673
2360000000.0	11918.0	78.6166699048
2363000000.0	12225.0	-111.734991257
2366000000.0	12220.0	59.5360404119
2369000000.0	12239.0	-128.073829415
2372000000.0	12114.0	-136.578978045
2375000000.0	11949.0	-143.965028172
2378000000.0	11673.0	25.29162619
2381000000.0	11260.0	20.1437730717
2384000000.0	10821.0	12.086263843
2387000000.0	10342.0	3.80493491354
2390000000.0	9904.0	-175.971245386
2393000000.0	9452.0	-185.819312221
2396000000.0	8770.0	-12.086263843
2399000000.0	8290.0	-193.876821449
2402000000.0	7916.0	162.996697105
2405000000.0	7487.0	-24.1655333204
2408000000.0	7090.0	-27.7466485331
2411000000.0	6719.0	148.224596853
2414000000.0	6453.0	147.329318049
2417000000.0	6107.0	143.076743734
2420000000.0	5794.0	-41.8472896833
2423000000.0	5668.0	136.809792112
2426000000.0	5398.0	-47.2189625024
2429000000.0	5270.0	134.795414805
2432000000.0	5122.0	132.333398096
2435000000.0	4976.0	-51.9191762192
2438000000.0	4863.0	-55.0526520303
2441000000.0	4696.0	121.813872159
2444000000.0	4613.0	-61.7672430542
2447000000.0	4533.0	120.023314552
2450000000.0	4396.0	115.323100835
2453000000.0	4348.0	-65.348358267
2456000000.0	4247.0	111.965805323
2459000000.0	4248.0	-72.958228094
2462000000.0	4106.0	103.013017292
2465000000.0	4104.0	-81.4633767243
2468000000.0	4018.0	97.6413444725
2471000000.0	3983.0	105.027394599
2474000000.0	3887.0	97.6413444725
2477000000.0	3874.0	-84.8206722363
2480000000.0	3826.0	-91.0876238586
2483000000.0	3744.0	86.4503594327
2486000000.0	3765.0	-99.8165921896
2489000000.0	3638.0	72.7414027589
2492000000.0	3583.0	-97.3545754809
2495000000.0	3586.0	-105.915679036
2498000000.0	3509.0	-118.001942879
2501000000.0	3404.0	64.2362541286
2504000000.0	3373.0	-126.50709151
2507000000.0	3303.0	44.7639401593
2510000000.0	3235.0	-130.312026423
2513000000.0	3174.0	-131.654944628
2516000000.0	3090.0	39.8399067418
2519000000.0	3059.0	35.1396930251
2522000000.0	2973.0	-155.379832912
2525000000.0	2921.0	22.6057897805
2528000000.0	2785.0	15.8911987566
2531000000.0	2732.0	12.9815426462
2534000000.0	2668.0	3.13347581115
2537000000.0	2599.0	-164.780260346
2540000000.0	2489.0	-169.704293763
2543000000.0	2395.0	-172.613949874
2546000000.0	2347.0	-4.02875461434
2549000000.0	2227.0	-177.09034389
2552000000.0	2119.0	165.234894113
2555000000.0	2070.0	-22.374975714
2558000000.0	2003.0	-34.9088789586
2561000000.0	1908.0	-18.3462210997
2564000000.0	1836.0	-29.0895667379
2567000000.0	1668.0	139.495628521
2570000000.0	1653.0	-42.7425684865
2573000000.0	1627.0	-61.3196036526
2576000000.0	1475.0	127.633184379
2579000000.0	1493.0	93.6125898582
2582000000.0	1224.0	105.2512143
2585000000.0	1286.0	-119.568680785
2588000000.0	1306.0	68.4888284438
2591000000.0	1108.0	76.154653196
2594000000.0	1049.0	-17.2271225957
2597000000.0	1062.0	-173.285408976
2600000000.0	1173.0	158.072663688
